name;trigger_time;t90;t90_error;t90_start;fluence;fluence_error;flux_1024;flux_1024_error;flux_1024_time;flux_64;flux_64_error;flnc_band_ampl;flnc_band_ampl_pos_err;flnc_band_ampl_neg_err;flnc_band_epeak;flnc_band_epeak_pos_err;flnc_band_epeak_neg_err;flnc_band_alpha;flnc_band_alpha_pos_err;flnc_band_alpha_neg_err;flnc_band_beta;flnc_band_beta_pos_err;flnc_band_beta_neg_err;flnc_spectrum_start;flnc_spectrum_stop;trigger_name;t50;t50_error;t50_start;fluence_batse;fluence_batse_error;flux_256;flux_256_error;flux_256_time
GRB120403857;56020,85693;   4.288; 1.935;  -3.968;2,3964E-07;2,0458E-08;  1.7469;  0.2388;  -0.896;  2.6136;  1.0348;0,005949802;0,002084168;0,002084168;192,8073;54,8853;54,8853;-0,946959;0,2939961;0,2939961;-3,722981;20,60328;20,60328;  -2.048;   0.000;bn120403857;   1.408; 1.620;  -1.536;1,2524E-07;1,0849E-08;  2.2466;  0.2498;  -3.200
GRB120227725;55984,72548;  17.408; 0.810;   0.256;0,000021949;1,0403E-07; 18.4653;  0.9121;   7.040; 29.1086;  5.0468;0,06221736;0,007274605;0,007274605;128,8301;9,860504;9,860504;-0,8071501;0,07811129;0,07811129;-2,556083;0,1392703;0,1392703;  -1.024;  19.456;bn120227725;   6.656; 0.572;   5.632;0,000013652;5,1814E-08; 21.2037;  2.0178;  16.896
GRB230524357;60088,35731;  11.008; 4.720;  -5.632;1,4201E-06;4,2457E-08;  3.5503;  0.2418;   2.560;  5.8002;  1.1190;0,04129544;0,00473331;0,00473331;97,28433;6,982863;6,982863;-0,01539579;0,08568078;0,08568078;-9,999997;2,40181E-06;2,40181E-06;  -3.072;   4.096;bn230524357;   3.584; 0.572;  -0.512;8,9879E-07;2,6751E-08;  4.5384;  0.5042;   2.816
GRB141205018;56996,01771;  13.056; 1.280;  -6.912;1,6031E-06;4,1267E-08;  2.1505;  0.2804;   5.184;  4.6669;  1.8177;0,01057792;0,002487322;0,002487322;226,143;30,72015;30,72015;-0,3056635;0,2175181;0,2175181;-8,371213;1374,313;1374,313;  -7.168;  58.368;bn141205018;   5.888; 1.280;  -1.792;8,5376E-07;2,3433E-08;  3.3649;  0.5938;   5.440
GRB180630467;58299,4666;  12.032; 1.864;  -2.048;0,000002988;3,2537E-08;  9.4128;  0.3923;   1.152; 12.8245;  1.8405;0,0224888;0,007405374;0,007405374;58,01395;11,79199;11,79199;-1,077285;0,1857612;0,1857612;-2,338689;0,2673285;0,2673285;  -2.048;  10.240;bn180630467;   2.816; 0.362;   0.768;1,4429E-06;1,4089E-08; 10.7517;  0.8342;   1.472
GRB170116238;57769,23837;   9.216; 3.620;  -1.024;1,1231E-06;9,1975E-08;  5.4422;  0.5562;  -0.960;  9.7566;  3.5748;0,01098831;0,004285669;0,004285669;184,9115;75,9761;75,9761;-1,313029;0,2918935;0,2918935;-10,60694;134904,6;134904,6;  -1.024;   1.024;bn170116238;   4.352; 2.111;  -0.256;6,7657E-07;5,0212E-08;  6.4960;  1.1075;  -0.384
GRB250330255;60764,25531;   4.800; 0.326;  -0.256;1,4825E-06;1,3997E-08;  6.5039;  0.2914;   0.256;  8.1937;  1.2140;;;;;;;;;;;;;;;bn250330255;   1.664; 0.181;   0.320;8,7655E-07;7,6733E-09;  7.1022;  0.5914;   0.640
GRB250926827;60944,82675;  24.256; 1.619;  -2.208;3,6552E-06;3,1169E-08;  5.2484;  0.2476;   1.632;  7.1472;  1.1367;;;;;;;;;;;;;;;bn250926827;  12.800; 0.810;   1.568;1,8542E-06;1,7262E-08;  6.7809;  0.5428;   1.696
GRB091026550;55130,54969;   8.960; 1.379;  -5.120;1,3765E-06;7,1983E-08;  3.8566;  0.4945;  -3.200;  8.6651;  2.4015;0,006602648;0,000959945;0,000959945;537,4086;291,1014;291,1014;-1,349118;0,1376197;0,1376197;-2,216305;61,44677;61,44677;  -5.120;   4.096;bn091026550;   3.840; 0.810;  -4.096;7,1693E-07;2,7196E-08;  5.5099;  1.1113;  -3.200
GRB230428381;60062,38123;   4.352; 1.639;  -2.048;3,4407E-07;3,2779E-08;  1.7549;  0.2267;  -1.472;  3.2913;  1.2449;0,1381537;0,02248083;0,02248083;30,96627;2,95717;2,95717;0,07603552;0,06813873;0,06813873;-2,0001;0,430055;0,430055;  -3.072;   2.048;bn230428381;   1.536; 1.145;  -1.280;1,7023E-07;1,5841E-08;  2.3539;  0.5066;  -0.576
GRB220315101;59653,10135;   0.768; 0.668;  -0.256;4,1031E-07;2,1466E-08;  2.9632;  0.2395;  -0.384;  6.0633;  0.9210;0,02149454;0,002725135;0,002725135;351,6509;47,82465;47,82465;-0,3359213;0,2417014;0,2417014;-2,0001;7,9999;7,9999;  -0.192;   0.576;bn220315101;   0.384; 0.091;   0.000;2,1278E-07;1,013E-08;  4.3395;  0.5287;  -0.192
GRB220228438;59638,43757;  12.032; 2.415;  -6.912;8,9381E-07;3,1342E-08;  3.0563;  0.2219;  -0.576;  5.1501;  1.1581;;;;;;;;;;;;;;;bn220228438;   2.816; 0.724;  -1.280;4,2773E-07;1,7743E-08;  4.2204;  0.4708;   0.960
GRB150312403;57093,40331;   0.320; 0.547;  -0.064;1,4018E-07;1,9221E-08;  0.9922;  0.1863;  -0.512;  6.0095;  0.9938;0,03213545;0,0110266;0,0110266;304,3298;90,27019;90,27019;-0,4893708;0,3206437;0,3206437;-23,28306;41524920000;41524920000;  -0.064;   0.064;bn150312403;   0.064; 0.091;  -0.064;1,0083E-07;1,1822E-08;  2.9299;  0.4356;  -0.064
GRB251018723;60966,72343;   0.320; 0.163;  -0.064;9,7787E-08;6,4922E-09;  1.2318;  0.2164;  -0.320; 10.2205;  1.2350;;;;;;;;;;;;;;;bn251018723;   0.128; 0.045;  -0.032;5,3748E-08;3,5338E-09;  5.0762;  0.5274;  -0.128
GRB110520302;55701,30169;  12.288;11,336; -10.496;1,0428E-06;5,1064E-08;  2.8838;  0.3491;  -1.536;  5.7012;  1.9801;0,006551446;0,001281703;0,001281703;300,0164;70,91693;70,91693;-0,8883432;0,2117178;0,2117178;-13,21839;1248560;1248560;  -6.144;   0.000;bn110520302;   5.376; 0.923;  -5.888;5,7598E-07;2,6819E-08;  3.4447;  0.6874;  -0.768
